Vivado Simulator 2017.3
Time resolution is 1 ps
ALUCC is xxxx
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
result is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
ALUCC is 0000
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
result is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
ALUCC is 0000
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000000000
result is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000000000
result is 0000000000000000000000000000000000000000000000000000000000000000
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000000001
result is 0000000000000000000000000000000000000000000000000000000000000000
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000000
SrcB is 0000000000000000000000000000000000000000000000000000000000000010
result is 0000000000000000000000000000000000000000000000000000000000000001
ALUCC is 0010
SrcA is 0000000000000000000000000000000000000000000000000000000000000001
SrcB is 0000000000000000000000000000000000000000000000000000000000000010
result is 0000000000000000000000000000000000000000000000000000000000000010
ALUCC is 0010
SrcA is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
SrcB is 0000000000000000000000000000000000000000000000000000000000000010
result is 0000000000000000000000000000000000000000000000000000000000000011
ALUCC is xxxx
SrcA is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
SrcB is 0000000000000000000000000000000000000000000000000000000000000010
result is 0000000000000000000000000000000000000000000000000000000000000011
ALUCC is xxxx
SrcA is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
SrcB is xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
result is 0000000000000000000000000000000000000000000000000000000000000011
